update,episodes,rollout_steps,mean_cost,mean_reward,mean_decisions,mean_branches,actor_loss,critic_loss,entropy,approx_kl,clip_fraction,fixed_greedy_cost,elapsed_seconds
1,2,17,60.16813939,-60.16813939,8.5,3.423611111,-0.000969284,1192.395172,1.073963523,1.13E-06,0,27.13274123,0.0857892
2,4,14,30.21238898,-30.21238898,7,4.285714286,-0.000503617,464.6936874,1.21348846,5.17E-07,0,27.13274123,0.1643967
3,6,16,50.38274123,-50.38274123,8,3.5,-0.000451279,655.2675018,1.141083628,3.51E-07,0,22.13716694,0.2475832
4,8,15,53.45575041,-53.45575041,7.5,4,-0.000347284,1459.812134,1.132585168,3.19E-07,0,9.707963268,0.3268317
5,10,18,38.67035225,-38.67035225,9,3.525974026,-0.000461393,410.2822037,1.036816716,3.44E-07,0,41.5619449,0.4140485
6,12,18,56.92035225,-56.92035225,9,2.7875,-0.000479904,837.0975647,0.892221496,4.98E-07,0,41.5619449,0.5027298
7,14,12,28.24336143,-28.24336143,6,3.785714286,-0.001077601,270.1292419,1.025534451,1.36E-06,0,20.56637061,0.5700404
8,16,14,51.92477796,-51.92477796,7,3.177777778,-0.001296626,557.4256439,1.006991237,2.59E-06,0,0.429203673,0.6417544
9,18,10,27.78539816,-27.78539816,5,7.666666667,-0.000867404,247.213707,1.71060285,1.22E-06,0,0.429203673,0.7033984
10,20,9,32.63495408,-32.63495408,4.5,5.083333333,-0.001459296,562.0198975,1.104311973,4.88E-06,0,0.429203673,0.7579235
11,22,16,46.34734307,-46.34734307,8,4.75,-0.000814155,625.1865845,1.199012548,1.39E-06,0,8.283185307,0.838191
12,24,16,42.85176878,-42.85176878,8,3.96031746,-0.001428573,229.6630821,1.079658002,2.54E-06,0,8.283185307,0.9171645
13,26,14,51.06637061,-51.06637061,7,4.6,-0.001117037,701.1617889,1.085344374,2.11E-06,0,8.283185307,0.9913716
14,28,17,66.16813939,-66.16813939,8.5,3.548611111,-0.00106963,965.7776794,1.056701869,1.87E-06,0,8.283185307,1.0743617
15,30,8,18.92477796,-18.92477796,4,4.266666667,-0.001625982,60.65937996,1.155128628,4.61E-06,0,8.283185307,1.1243715
16,32,10,36.28097245,-36.28097245,5,3.8,-0.000939111,262.3439026,1.120355815,2.38E-06,0,8.283185307,1.1821088
17,34,9,42.81858347,-42.81858347,4.5,4.333333333,-0.001422127,466.7830811,1.180923223,2.72E-06,0,8.283185307,1.2371748
18,36,15,43.56637061,-43.56637061,7.5,5.05,-0.001122631,416.0734711,1.224294275,5.69E-06,0,8.283185307,1.32391
19,38,15,65.63495408,-65.63495408,7.5,4.2,-0.000976498,951.9568024,1.004125416,3.56E-06,0,8.283185307,1.4031154
20,40,12,48.56415776,-48.56415776,6,3.666666667,-0.001514342,735.0207672,1.140553296,3.19E-06,0,8.283185307,1.4713094
