update,episodes,rollout_steps,mean_cost,mean_reward,mean_decisions,mean_branches,actor_loss,critic_loss,entropy,approx_kl,clip_fraction,fixed_greedy_cost,elapsed_seconds
1,16,105,34.9286495171396,-34.9286495171396,6.5625,3.726686507936508,-9.869545061036433e-05,620.3074951171875,1.0835132598876953,2.9140049780570127e-08,0.0,16.84955592153876,0.357709200005047
2,32,92,34.57936831860599,-34.57936831860599,5.75,4.651810515873016,-7.596698360146092e-05,605.5983479817709,1.1739314794540405,2.5267186269199254e-08,0.0,16.84955592153876,0.6862023000139743
3,48,94,29.579644925633218,-29.579644925633218,5.875,3.738764880952381,-8.481952232960073e-05,442.96453857421875,1.0542020400365193,2.8322774644114663e-08,0.0,8.283185307179586,1.0157377000432462
4,64,104,35.86476648200343,-35.86476648200343,6.5,4.718179563492064,-8.461452242218097e-05,570.4267781575521,1.1534137328465779,3.133064533737221e-08,0.0,8.283185307179586,1.3910064999945462
5,80,108,44.027653166634934,-44.027653166634934,6.75,4.7155257936507935,-5.658118081737958e-05,744.2348836263021,1.118202845255534,2.0788039437983723e-08,0.0,8.283185307179586,1.8487253000494093
6,96,104,32.854257298990674,-32.854257298990674,6.5,4.204613095238095,-2.820331330729194e-05,470.23183186848956,1.0950623353322346,1.8913012193403727e-08,0.0,8.283185307179586,2.2645813999697566
7,112,91,39.535672886402594,-39.535672886402594,5.6875,4.991700487012987,-4.590561872445479e-05,742.4117431640625,1.1760505040486653,1.2881590460978032e-08,0.0,8.283185307179586,2.589609200018458
8,128,96,34.96321785945535,-34.96321785945535,6,4.910912698412698,-7.54959077724493e-05,494.184814453125,1.193676749865214,2.3179583881945593e-08,0.0,8.283185307179586,2.9334964000154287
9,144,108,39.21183482431918,-39.21183482431918,6.75,3.9122068903318903,-7.062929647953335e-05,599.4429117838541,1.0850179592768352,2.0052179768489015e-08,0.0,8.283185307179586,3.297203400055878
10,160,93,33.98561831860599,-33.98561831860599,5.8125,4.662549603174603,-5.219443999256631e-05,400.67470296223956,1.2041937907536824,2.6063680991228466e-08,0.0,8.283185307179586,3.626250599976629
11,176,97,33.12029768053704,-33.12029768053704,6.0625,3.605406746031746,-0.00011260648863320455,381.16991170247394,1.0573207139968872,2.7856464986560543e-08,0.0,8.283185307179586,3.9481242999900132
12,192,89,34.48893666092174,-34.48893666092174,5.5625,4.333382936507936,-7.057692483887952e-05,648.7360636393229,1.0875561237335205,3.6387854507324846e-08,0.0,8.283185307179586,4.247382199973799
13,208,96,37.17284171157875,-37.17284171157875,6,4.265128968253968,-0.00010363260985831364,496.1705830891927,1.1309946378072102,3.870162679220357e-08,0.0,8.283185307179586,4.572022499982268
14,224,99,42.91648069196344,-42.91648069196344,6.1875,4.172867063492063,-8.878403080932647e-05,825.9942016601562,1.0791504383087158,5.5189483797827656e-08,0.0,8.283185307179586,4.905651199980639
15,240,104,45.63467747790897,-45.63467747790897,6.5,3.967834595959596,-0.00011007487512652385,742.4040120442709,1.088881254196167,5.4446552155695827e-08,0.0,8.283185307179586,5.279643299989402
16,256,101,39.54618206941536,-39.54618206941536,6.3125,4.314434523809524,-0.00011371572963625454,576.885986328125,1.132745385169983,4.2883868900389643e-08,0.0,8.283185307179586,5.641830999986269
17,272,102,33.91509859883832,-33.91509859883832,6.375,3.7930690836940837,-0.00011252051669548753,565.2161865234375,1.0455987453460693,5.8046352317357254e-08,0.0,8.283185307179586,5.989467000006698
18,288,105,31.714324287564278,-31.714324287564278,6.5625,3.7052579365079366,-0.00013409303819974147,314.1012268066406,1.0400079488754272,7.568843921982686e-08,0.0,8.283185307179586,6.3808355000801384
19,304,115,44.956580232812804,-44.956580232812804,7.1875,3.7637536075036078,-0.00011492881177706711,697.1222941080729,1.0540758768717449,7.031620441466657e-08,0.0,8.283185307179586,6.783569400082342
20,320,91,38.132465563702155,-38.132465563702155,5.6875,4.727827380952381,-0.00013827229828670498,686.6534627278646,1.1245368321736653,1.0610936840294016e-07,0.0,8.283185307179586,7.099287600023672
21,336,93,31.06996556370216,-31.06996556370216,5.8125,3.7513392857142858,-0.0001531715460908837,413.7607116699219,1.084742784500122,9.54956149712416e-08,0.0,8.283185307179586,7.423852400039323
22,352,102,39.30503161026472,-39.30503161026472,6.375,4.351041666666666,-0.00021627214505196926,570.5161946614584,1.1555619637171428,1.4570024594225592e-07,0.0,8.283185307179586,7.766256000031717
23,368,102,45.09927931451153,-45.09927931451153,6.375,4.907242063492063,-0.00014560382645475065,778.3423055013021,1.2105525732040405,1.4803768048447333e-07,0.0,8.283185307179586,8.122466000029817
24,384,99,33.22593895667492,-33.22593895667492,6.1875,4.084151785714286,-0.00017055036296890572,347.6972147623698,1.1444502274195354,1.216175557298508e-07,0.0,8.283185307179586,8.459318400011398
25,400,97,39.537332528566,-39.537332528566,6.0625,4.25250496031746,-0.0003112632442422066,382.85198974609375,1.11258331934611,2.7508260795154155e-07,0.0,8.283185307179586,8.791514000040479
26,416,95,27.481193548181302,-27.481193548181302,5.9375,3.829017857142857,-0.00022741117123548094,199.17096455891928,1.0824811061223347,2.1604070354896976e-07,0.0,8.283185307179586,9.14908220001962
27,432,109,36.66731051304514,-36.66731051304514,6.8125,3.792485119047619,-0.0001389528232659624,545.8305460611979,1.060069998105367,1.480090835078348e-07,0.0,8.283185307179586,9.552625400014222
28,448,106,39.024058217291945,-39.024058217291945,6.625,4.100967261904762,-0.0002214020138614122,571.9164428710938,1.0426396131515503,1.8556163420650287e-07,0.0,8.283185307179586,9.9961838000454
29,464,106,41.09540775814131,-41.09540775814131,6.625,4.294494047619048,-0.0002733555350763102,516.3637898763021,1.1178524096806843,2.924001497225011e-07,0.0,8.283185307179586,10.370200400007889
30,480,87,32.03484400733194,-32.03484400733194,5.4375,3.6754464285714286,-0.00019520954816698577,419.4933268229167,1.0782978534698486,2.4230088039682113e-07,0.0,8.283185307179586,10.66004960006103
31,496,95,29.50331740030471,-29.50331740030471,5.9375,4.071651785714286,-0.00020449684801112275,318.75682576497394,1.0793283383051555,2.5305832688597246e-07,0.0,8.283185307179586,10.980177500052378
32,512,101,43.10370408493621,-43.10370408493621,6.3125,4.022247023809524,-0.0003273683840632202,729.8752237955729,1.1203420162200928,3.2477646054000314e-07,0.0,8.283185307179586,11.329863899969496
33,528,101,39.37776418625024,-39.37776418625024,6.3125,4.71838474025974,-0.0002473329189376372,491.0983479817708,1.1758676767349243,3.749387834280545e-07,0.0,8.283185307179586,11.695194100029767
34,544,102,39.34098298771663,-39.34098298771663,6.375,4.550669642857143,-0.00027399436434549784,473.5152079264323,1.1562519073486328,4.28335340529884e-07,0.0,8.283185307179586,12.049855999997817
35,560,102,45.527929773662166,-45.527929773662166,6.375,4.55337527056277,-0.0004437222933783384,799.20263671875,1.1363840103149414,6.388994412039514e-07,0.0,8.283185307179586,12.3962267000461
36,576,106,38.83766464540088,-38.83766464540088,6.625,3.94422123015873,-0.0003238211626784467,451.7039286295573,1.0880221128463745,4.0411200075141096e-07,0.0,8.283185307179586,12.754616699996404
37,592,91,34.110065104551516,-34.110065104551516,5.6875,4.338764880952381,-0.00046644978512588864,352.7776794433594,1.1554810206095378,9.034579117421041e-07,0.0,8.283185307179586,13.063701100065373
38,608,107,41.02046326794897,-41.02046326794897,6.6875,4.539236111111111,-0.000454009514838057,447.7880147298177,1.1290795008341472,7.382805904398992e-07,0.0,8.283185307179586,13.430225600022823
39,624,92,36.60481051304514,-36.60481051304514,5.75,4.275223214285714,-0.0004196495232780724,404.2306416829427,1.133331020673116,6.949556071352466e-07,0.0,8.283185307179586,13.754506399971433
40,640,97,32.31581740030471,-32.31581740030471,6.0625,4.24941829004329,-0.00047102622370687186,355.51584879557294,1.1218898296356201,9.440474286748213e-07,0.0,8.283185307179586,14.086942599969916
41,656,106,38.04618206941535,-38.04618206941535,6.625,5.035218253968254,-0.0004699965025546741,501.7329508463542,1.1109487215677898,9.711058244950739e-07,0.0,8.283185307179586,14.444372700061649
42,672,103,40.00691234964769,-40.00691234964769,6.4375,4.159995039682539,-0.00032847675615036803,539.2841593424479,1.1807903051376343,6.789914361130892e-07,0.0,8.283185307179586,14.790232400060631
43,688,92,38.287332528566,-38.287332528566,5.75,4.4556547619047615,-0.0006245884359354174,518.0682576497396,1.132116675376892,1.197707869475077e-06,0.0,8.283185307179586,15.103218500036746
44,704,104,32.203538497524285,-32.203538497524285,6.5,4.176210768398269,-0.00042947839709720864,383.31833902994794,1.1053068240483601,9.324688600524192e-07,0.0,8.283185307179586,15.454548300011083
45,720,98,34.2936935481813,-34.2936935481813,6.125,4.099702380952381,-0.0006795821606099631,317.97046915690106,1.13326096534729,1.3676630222410797e-06,0.0,8.283185307179586,15.79916310007684
46,736,95,33.481470155208534,-33.481470155208534,5.9375,4.53030753968254,-0.000666770180932493,256.06615193684894,1.158493995666504,1.3997680146834075e-06,0.0,8.283185307179586,16.12405680003576
47,752,86,32.076049976290236,-32.076049976290236,5.375,4.5902529761904765,-0.0008448135985833124,290.6135762532552,1.1810766061147053,2.4893025738492724e-06,0.0,8.283185307179586,16.4204859000165
48,768,94,42.036226100457064,-42.036226100457064,5.875,4.641531385281385,-0.00061860552894899,540.25048828125,1.1906071503957112,2.046214717665862e-06,0.0,8.283185307179586,16.74176670005545
49,784,101,37.73147015520854,-37.73147015520854,6.3125,3.8901785714285713,-0.0007257536447475843,477.32627360026044,1.0599129597345989,2.419791182243595e-06,0.0,8.283185307179586,17.07527300005313
50,800,119,41.408460972195776,-41.408460972195776,7.4375,3.970302960927961,-0.0008161916164025248,493.4049987792969,1.0417189598083496,2.585873251822098e-06,0.0,8.283185307179586,17.48062950000167
51,816,103,33.550330232812804,-33.550330232812804,6.4375,3.857688492063492,-0.0010195681405204364,318.46094767252606,1.0835715134938557,2.953998508322305e-06,0.0,8.283185307179586,17.850726500037126
52,832,97,35.48893666092173,-35.48893666092173,6.0625,4.427480158730159,-0.001203334623070799,365.7461751302083,1.1709663073221843,4.213290670425825e-06,0.0,8.283185307179586,18.19000160007272
53,848,90,30.06194584393449,-30.06194584393449,5.625,4.798635912698413,-0.0013515277929535923,235.08468627929688,1.1600903669993083,5.665752572288814e-06,0.0,8.283185307179586,18.506705600069836
54,864,105,39.635783906017906,-39.635783906017906,6.5625,4.001909722222222,-0.0008902545964774392,431.54967244466144,1.1101289987564087,4.026814015863541e-06,0.0,8.283185307179586,18.856346099986695
55,880,101,34.81913574262046,-34.81913574262046,6.3125,3.7673363095238095,-0.0009192893069879619,364.84081013997394,1.0521692037582397,3.5385093421306615e-06,0.0,8.283185307179586,19.190639000036754
56,896,90,28.84319584393449,-28.84319584393449,5.625,5.099479166666667,-0.0012939559235409792,205.58175659179688,1.1589163939158122,4.7864737098279875e-06,0.0,8.283185307179586,19.51292440004181
57,912,86,25.425054567796614,-25.425054567796614,5.375,4.350372023809523,-0.0013007595999772192,312.089111328125,1.1542432308197021,5.141016041913342e-06,0.0,8.283185307179586,19.818203900009394
58,928,101,36.88135913559323,-36.88135913559323,6.3125,4.010193452380952,-0.0011245209198113375,269.5355529785156,1.0678338209788005,5.0465265151918475e-06,0.0,0.42920367320510344,20.16242150007747
59,944,100,34.4811935481813,-34.4811935481813,6.25,4.206770833333334,-0.0013394775800404564,400.12770589192706,1.113800843556722,6.044109795766417e-06,0.0,0.42920367320510344,20.51529880007729
60,960,109,37.98893666092174,-37.98893666092174,6.8125,4.440992514430015,-0.0016171363209428098,286.3989969889323,1.086934765179952,6.753917053477683e-06,0.0,0.42920367320510344,20.885541700059548
61,976,85,27.15293071567321,-27.15293071567321,5.3125,5.097619047619048,-0.001177595122991093,225.39871215820312,1.2104368607203166,6.241190552221572e-06,0.0,0.42920367320510344,21.186837000073865
62,992,92,33.24750959474386,-33.24750959474386,5.75,4.4504464285714285,-0.0014152766586672527,215.7603556315104,1.1311920483907063,7.535452520338974e-06,0.0,0.42920367320510344,21.504771400010213
63,1008,85,25.24999905798896,-25.24999905798896,5.3125,4.600992063492064,-0.001461009879359117,198.4639638264974,1.139560302098592,6.2552154152702615e-06,0.0,0.42920367320510344,21.825733400066383
64,1024,75,25.98534171157875,-25.98534171157875,4.6875,5.235639880952381,-0.0016186311271872238,227.89591471354166,1.2334904670715332,1.4168819082745662e-05,0.0,0.42920367320510344,22.094341800082475
65,1040,89,20.978981633974485,-20.978981633974485,5.5625,5.017931547619048,-0.0014921058407959542,95.71187337239583,1.1906115214029949,8.196420215729935e-06,0.0,0.42920367320510344,22.424146000063047
66,1056,106,35.453538497524285,-35.453538497524285,6.625,3.4657738095238098,-0.0015386949877580491,251.49384053548178,1.023568034172058,6.859875914718335e-06,0.0,0.42920367320510344,22.78466870007105
67,1072,96,31.91924676223577,-31.91924676223577,6,4.180280483405483,-0.0017364997571955125,379.2808837890625,1.0894858837127686,9.172389127343195e-06,0.0,0.42920367320510344,23.12005610007327
68,1088,96,30.28235548609789,-30.28235548609789,6,4.231820436507936,-0.001608779007154985,189.23334757486978,1.0730297168095906,9.494936875853455e-06,0.0,0.42920367320510344,23.454158200067468
69,1104,90,26.761061455056186,-26.761061455056186,5.625,3.9953125,-0.0026070753819551484,147.3206787109375,1.0757732788721721,1.6479581063322257e-05,0.0,0.42920367320510344,23.763252899982035
70,1120,105,34.08794125242811,-34.08794125242811,6.5625,3.427926587301587,-0.0013048301155252535,270.14007568359375,0.9904283086458842,7.725045634288108e-06,0.0,0.42920367320510344,24.112282400019467
71,1136,99,29.275717859455344,-29.275717859455344,6.1875,3.779389880952381,-0.0019847073604791396,192.6546834309896,1.0611952940622966,1.0711175339868836e-05,0.0,0.42920367320510344,24.440053300000727
72,1152,101,33.845684365168545,-33.845684365168545,6.3125,4.031845238095238,-0.0021901818602453695,266.9324137369792,1.0143521626790364,1.2963715259199185e-05,0.0,0.42920367320510344,24.77642290003132
73,1168,86,23.264656404399165,-23.264656404399165,5.375,4.476041666666666,-0.0017974117640838412,120.65374755859375,1.0854098002115886,1.4716341259675877e-05,0.0,0.42920367320510344,25.07247360004112
74,1184,90,24.169523369263004,-24.169523369263004,5.625,3.92405753968254,-0.001610955514048218,130.7753143310547,1.0675077835718791,1.211243640379204e-05,0.0,0.42920367320510344,25.37828730000183
75,1200,92,24.376105486097888,-24.376105486097888,5.75,3.741344246031746,-0.0023230716106953744,188.0987548828125,1.0718458890914917,1.2991436657709224e-05,0.0,0.42920367320510344,25.701025300077163
76,1216,95,27.069688956674927,-27.069688956674927,5.9375,4.4123511904761905,-0.002498344742905445,174.9834442138672,1.0950469573338826,1.758138296281686e-05,0.0,0.42920367320510344,26.03536510001868
77,1232,97,27.07162520586555,-27.07162520586555,6.0625,3.9604166666666667,-0.0025590498182807377,279.3636881510417,1.0125387112299602,1.688644654980938e-05,0.0,0.42920367320510344,26.41706000000704
78,1248,89,29.770186660921734,-29.770186660921734,5.5625,4.96547619047619,-0.0019611879496063502,178.937744140625,1.1059412956237793,1.8279204293018363e-05,0.0,0.42920367320510344,26.766717900056392
79,1264,83,27.519357781851078,-27.519357781851078,5.1875,4.031770833333334,-0.00356923240745625,167.61902364095053,1.0465989510218303,2.7975164509067934e-05,0.0,8.283185307179586,27.057978000026196
80,1280,89,25.38357199181109,-25.38357199181109,5.5625,5.033035714285714,-0.0026338031447461496,188.67498779296875,1.1106764078140259,2.3207414415082894e-05,0.0,8.283185307179586,27.393874200060964
81,1296,92,29.267144925633218,-29.267144925633218,5.75,3.9361359126984126,-0.00267063626223063,293.56089274088544,1.051866054534912,2.1345804877152357e-05,0.0,8.283185307179586,27.7133323000744
82,1312,96,25.58130456779661,-25.58130456779661,6,3.748214285714286,-0.0027477344135859263,214.15413920084634,1.0278226534525554,2.6224181056022644e-05,0.0,0.42920367320510344,28.042816600063816
83,1328,92,25.81277566501619,-25.81277566501619,5.75,4.267857142857143,-0.0026104160672240084,206.1270955403646,1.0269539753595989,2.3807736397429835e-05,0.0,0.42920367320510344,28.39594760001637
84,1344,78,19.905972450961723,-19.905972450961723,4.875,4.756994047619048,-0.0025371717285113484,118.99061330159505,1.135392427444458,3.039531232692146e-05,0.0,0.42920367320510344,28.6876837000018
85,1360,91,30.446901812892786,-30.446901812892786,5.6875,4.943526785714286,-0.0025689204755643402,281.9911600748698,1.149654467900594,3.444002322794404e-05,0.0,0.42920367320510344,29.02787210000679
86,1376,88,21.39878255227576,-21.39878255227576,5.5,3.785416666666667,-0.002659526653587818,168.74055989583334,0.986725370089213,1.9607896319939755e-05,0.0,0.42920367320510344,29.335867700050585
87,1392,83,17.03318530717959,-17.03318530717959,5.1875,4.415252976190477,-0.002966253684429413,95.42039235432942,1.089410940806071,1.7838425568091527e-05,0.0,0.42920367320510344,29.685001900070347
88,1408,73,14.926160995905544,-14.926160995905544,4.5625,5.063169642857143,-0.003909636525964544,125.5052261352539,1.105655590693156,3.1818265900559105e-05,0.0,0.42920367320510344,29.97906589997001
89,1424,92,20.211282552275758,-20.211282552275758,5.75,4.247023809523809,-0.0027340942136673263,89.07362874348958,1.0212294658025105,2.3842182296599883e-05,0.0,0.42920367320510344,30.327804400003515
90,1440,77,17.952709618453632,-17.952709618453632,4.8125,5.083035714285714,-0.003330860210348637,85.29947916666667,1.0868827899297078,2.7494899162168924e-05,0.0,0.42920367320510344,30.614241300034337
91,1456,68,11.00221191420682,-11.00221191420682,4.25,4.9696428571428575,-0.002925094440762166,72.37717946370442,1.0844615300496419,2.141413733625086e-05,0.0,0.42920367320510344,30.892094300012104
92,1472,84,18.564435307179586,-18.564435307179586,5.25,4.865252976190476,-0.002275806485808829,99.92386627197266,1.072489619255066,2.3869058168202173e-05,0.0,0.42920367320510344,31.187918500043452
93,1488,85,17.493362373357456,-17.493362373357456,5.3125,5.004761904761905,-0.004098482641811489,84.45338948567708,1.0060721238454182,3.366891117669487e-05,0.0,0.42920367320510344,31.506793900043704
94,1504,82,13.345408700152355,-13.345408700152355,5.125,4.311830357142857,-0.00365442476931932,68.98033142089844,0.9970049460728964,3.428623798148086e-05,0.0,0.42920367320510344,31.812025999999605
95,1520,72,14.561116964863837,-14.561116964863837,4.5,5.436979166666666,-0.005073129440899216,85.39450581868489,0.9683998624483744,5.635301931761205e-05,0.0,0.42920367320510344,32.08692819997668
96,1536,90,23.56166923690726,-23.56166923690726,5.625,4.329464285714286,-0.002836465895934855,153.25519307454428,1.0030382076899211,3.641976278837925e-05,0.0,0.42920367320510344,32.439967500045896
97,1552,89,16.76631604656256,-16.76631604656256,5.5625,4.660044642857143,-0.003251482537260486,80.75344340006511,0.953444759051005,1.6048382652418997e-05,0.0,0.42920367320510344,32.75872230005916
98,1568,82,13.252488521234051,-13.252488521234051,5.125,4.298214285714286,-0.0038327036985776886,55.8027089436849,0.9719873269399008,2.4576860293260932e-05,0.0,0.42920367320510344,33.052404900081456
99,1584,88,15.096791735288518,-15.096791735288518,5.5,4.025744047619048,-0.00360986002664454,61.458089192708336,0.930917759736379,3.6905942882488794e-05,0.0,0.42920367320510344,33.368547999998555
100,1600,78,17.907355486097888,-17.907355486097888,4.875,5.318452380952381,-0.004341839398774638,99.66714477539062,1.03448486328125,4.754451219923794e-05,0.0,0.42920367320510344,33.664240700076334
101,1616,83,21.001105486097888,-21.001105486097888,5.1875,5.132886904761905,-0.004089921819472764,119.224609375,0.9478803475697836,4.515811815508641e-05,0.0,0.42920367320510344,33.98853670002427
102,1632,68,13.608683011426399,-13.608683011426399,4.25,5.382291666666667,-0.003482982749119401,97.94587707519531,1.0240806738535564,3.0292161682154983e-05,0.0,0.42920367320510344,34.25904580007773
103,1648,84,10.106471097219577,-10.106471097219577,5.25,4.210119047619048,-0.003131825813195377,74.82419077555339,0.9000321825345358,2.7291477636026684e-05,0.0,0.42920367320510344,34.566093700006604
104,1664,82,18.64020961845363,-18.64020961845363,5.125,5.4097470238095235,-0.004447090621219729,99.99462381998698,0.9203883409500122,4.193937941939415e-05,0.0,0.42920367320510344,34.90571670001373
105,1680,84,15.050331174823846,-15.050331174823846,5.25,4.069642857142857,-0.0030827219634955347,71.1292012532552,0.9147380987803141,3.657892011688091e-05,0.0,0.42920367320510344,35.19558589998633
