update,episodes,rollout_steps,mean_cost,mean_reward,mean_decisions,mean_branches,actor_loss,critic_loss,entropy,approx_kl,clip_fraction,fixed_greedy_cost,elapsed_seconds
1,16,105,34.9286495171396,-34.9286495171396,6.5625,3.726686507936508,0.013287601032061502,623.2290115356445,1.0842437446117401,1.7943008234766467e-07,0.0,16.84955592153876,0.5848245000233874
2,32,98,40.042587120072376,-40.042587120072376,6.125,4.391121031746032,-0.005786483990959823,579.0680046081543,1.1083611398935318,1.1244350561767646e-07,0.0,16.84955592153876,1.087457700050436
3,48,95,32.71377107350981,-32.71377107350981,5.9375,3.6180307539682537,0.006105546490289271,396.51102447509766,1.0374208092689514,1.411479435553531e-07,0.0,8.283185307179586,1.6381487000035122
4,64,109,39.19634859883832,-39.19634859883832,6.8125,4.367361111111111,-0.014363835100084543,552.9285430908203,1.105918064713478,1.389429785114693e-07,0.0,8.283185307179586,2.301249000011012
5,80,103,41.221237579223015,-41.221237579223015,6.4375,4.902150974025974,0.020416717510670424,707.8706130981445,1.1670914143323898,2.0116269161540856e-07,0.0,8.283185307179586,2.876399900065735
6,96,106,31.967366022852797,-31.967366022852797,6.625,4.3327132936507935,-9.163375943899155e-05,574.2337493896484,1.0841368436813354,2.2933818699666375e-07,0.0,8.283185307179586,3.394923400017433
7,112,103,39.12610454408685,-39.12610454408685,6.4375,3.8697285353535356,0.0004866872914135456,600.8683090209961,1.045182928442955,3.5965170275265024e-07,0.0,8.283185307179586,3.972506800084375
8,128,96,36.945518777756625,-36.945518777756625,6,4.431770833333333,0.01454663509503007,477.0095863342285,1.1650674045085907,9.870855137705803e-07,0.0,8.283185307179586,4.44489030004479
9,144,108,35.47593895667493,-35.47593895667493,6.75,4.013427197802198,-0.003333237487822771,408.4645805358887,1.1096161752939224,1.112390741297986e-06,0.0,8.283185307179586,4.983433600049466
10,160,97,37.9491137270996,-37.9491137270996,6.0625,4.488318452380953,-0.02056954801082611,480.2509117126465,1.1108278334140778,1.2451535980062545e-06,0.0,8.283185307179586,5.536776000051759
11,176,95,33.6061935481813,-33.6061935481813,5.9375,3.8250992063492064,0.042443278478458524,600.4512939453125,1.0802505612373352,1.4151033278508862e-06,0.0,8.283185307179586,6.075628400081769
12,192,93,41.27544125242812,-41.27544125242812,5.8125,4.425074404761904,3.361701965332031e-05,737.5229263305664,1.1422356963157654,3.1210345170507026e-06,0.0,8.283185307179586,6.605165900080465
13,208,87,33.09789722138641,-33.09789722138641,5.4375,4.346205357142857,-0.034711884800344706,356.4851722717285,1.104335442185402,1.8235144274569848e-06,0.0,8.283185307179586,7.1340739000588655
14,224,98,39.47013115111408,-39.47013115111408,6.125,4.071155753968254,0.01451158185955137,528.5231399536133,1.1384845525026321,2.091531397852009e-06,0.0,8.283185307179586,7.700713300029747
15,240,106,39.83572839621025,-39.83572839621025,6.625,3.5918154761904764,-0.005112003535032272,388.74742317199707,1.0449926555156708,2.0635613680042297e-06,0.0,8.283185307179586,8.143446000060067
16,256,98,35.66288574262046,-35.66288574262046,6.125,4.454283910533911,-0.009013688890263438,483.93157958984375,1.1402091681957245,4.553955145425448e-06,0.0,8.283185307179586,8.631385200074874
17,272,103,33.15597245096173,-33.15597245096173,6.4375,3.9068452380952383,0.00635643838904798,364.7295341491699,1.122948743402958,3.822616511328647e-06,0.0,8.283185307179586,9.13592080003582
18,288,98,30.588494466482576,-30.588494466482576,6.125,4.069279852092352,-0.014925606519682333,507.69424057006836,1.0482413694262505,5.3483800996900754e-06,0.0,8.283185307179586,9.629466200014576
19,304,93,34.038715563702155,-34.038715563702155,5.8125,4.565302579365079,0.0014401036314666271,326.1251564025879,1.189646914601326,8.225730006472531e-06,0.0,8.283185307179586,10.146386200096458
20,320,90,30.379977042468102,-30.379977042468102,5.625,4.5217261904761905,0.002851816127076745,253.66914176940918,1.1624660193920135,1.7580996946264804e-05,0.0,8.283185307179586,10.580097099998966
21,336,95,37.73893666092173,-37.73893666092173,5.9375,3.774305555555556,0.010004099225625396,479.18346786499023,1.0706733912229538,1.7092735880908094e-05,0.0,8.283185307179586,11.138049800065346
22,352,87,26.839324287564278,-26.839324287564278,5.4375,3.982440476190476,0.008512856438755989,220.2837028503418,1.0966108813881874,2.2517451803594213e-05,0.0,8.283185307179586,11.631764200050384
23,368,109,40.081856839840036,-40.081856839840036,6.8125,5.051079996392496,0.001776229590177536,351.0154724121094,1.1322886422276497,2.574017268841544e-05,0.0,8.283185307179586,12.225904199993238
24,384,118,45.73146921319749,-45.73146921319749,7.375,3.9020089285714286,-0.011145678581669927,423.99260330200195,1.0990767925977707,3.724957926465322e-05,0.0,8.283185307179586,12.8735769999912
25,400,83,28.543693548181302,-28.543693548181302,5.1875,4.59828869047619,0.018313634674996138,346.473445892334,1.0970128625631332,4.774515227268239e-05,0.0,8.283185307179586,13.368820100091398
26,416,99,33.09955592153876,-33.09955592153876,6.1875,4.037425595238095,0.0014627801720052958,286.36842346191406,1.1200173050165176,3.756641943652994e-05,0.0,8.283185307179586,13.931925400043838
27,432,120,39.08628161026471,-39.08628161026471,7.5,3.5772569444444446,-0.0035911164741264656,405.67774200439453,1.0212527438998222,2.6830771318486768e-05,0.0,8.283185307179586,14.552389800082892
28,448,97,26.87499905798896,-26.87499905798896,6.0625,4.536825847763348,-0.03233966138213873,143.70889377593994,1.1069443598389626,5.864173772351933e-05,0.0,8.283185307179586,15.109327000100166
29,464,97,22.100663291658737,-22.100663291658737,6.0625,4.38358134920635,0.0019042337080463767,98.4783296585083,1.0634633600711823,5.647601307146033e-05,0.0,8.283185307179586,15.669835500069894
30,480,78,22.10259859883832,-22.10259859883832,4.875,3.885763888888889,-0.012313785497099161,161.18384838104248,1.1132536679506302,4.102878422429512e-05,0.0,8.283185307179586,16.11149700009264
31,496,93,26.856470155208534,-26.856470155208534,5.8125,4.2609375,-0.011140626156702638,147.7168083190918,1.1355217397212982,6.51114591505575e-05,0.0,8.283185307179586,16.52105430001393
32,512,88,31.694965563702155,-31.694965563702155,5.5,4.424875992063492,0.0008381112329516327,525.0305290222168,1.1152447015047073,0.000109523885072349,0.0,8.283185307179586,17.027009200071916
33,528,88,28.423948139687678,-28.423948139687678,5.5,4.7707589285714285,-0.007567965192720294,305.2970390319824,1.13957479596138,9.77941299424856e-05,0.0,8.283185307179586,17.404629500000738
34,544,95,32.1999435481813,-32.1999435481813,5.9375,4.737549603174603,0.01757238549180329,209.22785568237305,1.1895522773265839,9.628226681002161e-05,0.0,8.283185307179586,17.940148000023328
35,560,88,28.38495502694725,-28.38495502694725,5.5,4.5930059523809526,0.004098888486623764,270.0025291442871,1.1084691137075424,0.00014234524132916704,0.0,8.283185307179586,18.400394199998118
36,576,104,31.467366022852794,-31.467366022852794,6.5,4.051328012265512,-0.01173263625241816,272.9878234863281,1.0463296696543694,0.0001519981403816928,0.0,8.283185307179586,18.98885260010138
37,592,69,20.24585089459151,-20.24585089459151,4.3125,6.191220238095238,0.13593307230621576,193.2581386566162,1.243952214717865,0.00020441685174432678,0.0,8.283185307179586,19.40139660006389
38,608,86,17.43971191420682,-17.43971191420682,5.375,4.852951388888889,-0.06066174851730466,77.81884860992432,1.0840712636709213,0.00011996050318430207,0.0,8.283185307179586,19.85937780002132
39,624,83,23.781802272043425,-23.781802272043425,5.1875,4.611607142857143,-0.014751276699826121,178.23958206176758,1.092762552201748,0.00016342397418611654,0.0,8.283185307179586,20.30433310009539
40,640,89,24.76769813968768,-24.76769813968768,5.5625,4.3767113095238095,0.02525071380659938,187.37237358093262,1.032780572772026,0.00030481171756946424,0.0,8.283185307179586,20.859096300089732
41,656,81,21.95519813968768,-21.95519813968768,5.0625,5.220436507936508,-0.029937638784758747,159.34093952178955,1.086480863392353,0.0001989429629247752,0.0,8.283185307179586,21.348351399996318
42,672,80,19.61642612416683,-19.61642612416683,5,4.537723214285714,-0.0003152471035718918,125.2946138381958,1.1013580858707428,0.0003441665321588516,0.0,8.283185307179586,21.762275899993256
43,688,76,17.528483929727674,-17.528483929727674,4.75,5.146875,0.062022517900913954,170.85011434555054,1.0136208161711693,0.0002829112490871921,0.0,8.283185307179586,22.220114700030535
44,704,87,12.373340357836604,-12.373340357836604,5.4375,4.337053571428571,-0.0055117178708314896,66.50066947937012,1.021559789776802,0.000122205686864163,0.0,8.283185307179586,22.76637990004383
45,720,89,16.341537143782137,-16.341537143782137,5.5625,3.968526785714286,0.012360173743218184,96.1997618675232,0.9061578288674355,0.00022478252680002697,0.0,8.283185307179586,23.38678980001714
46,736,72,15.296459618453632,-15.296459618453632,4.5,5.599479166666667,0.01317882677540183,167.75830459594727,1.108664259314537,0.0002537849941290915,0.0,8.283185307179586,23.80091160000302
47,752,73,14.673119260617026,-14.673119260617026,4.5625,5.2558283730158735,-0.04595544370386051,131.0721492767334,0.9422411248087883,0.0002779323972390557,0.0,8.283185307179586,24.32420760008972
48,768,72,17.073561455056183,-17.073561455056183,4.5,4.623958333333333,0.0022312025539577007,114.48863077163696,0.9410886541008949,0.0006469868239946663,0.001953125,8.283185307179586,25.083215499995276
49,784,82,13.67145961845363,-13.67145961845363,5.125,3.99375,0.04330344288609922,56.32665038108826,0.9046117514371872,0.00023272163912224642,0.0,8.283185307179586,25.92010890005622
50,800,88,15.035121556370216,-15.035121556370216,5.5,4.687574404761905,0.020489239366725087,53.96191930770874,0.8756940886378288,0.00020219205271132523,0.0,8.283185307179586,26.72742480004672
51,816,69,5.298949081698725,-5.298949081698725,4.3125,4.670833333333333,0.0005913201021030545,43.76838183403015,0.8816497549414635,9.61206271199444e-05,0.0,8.283185307179586,27.37196150003001
52,832,79,16.184733929727674,-16.184733929727674,4.9375,4.481026785714286,-0.10394433606415987,92.90830612182617,0.8748841807246208,0.00018316652511884968,0.0,8.283185307179586,27.98150940006599
53,848,79,13.83545273119406,-13.83545273119406,4.9375,5.454265873015873,0.005344673409126699,56.61283016204834,0.8487938717007637,0.0005269945911550167,0.008333333767950535,8.283185307179586,28.613055400084704
54,864,77,11.310840357836605,-11.310840357836605,4.8125,4.258630952380952,-0.05202040262520313,56.93935537338257,0.8112078607082367,0.00018284205623331218,0.0,8.283185307179586,29.272178000072017
55,880,69,7.5879421944391545,-7.5879421944391545,4.3125,4.535416666666666,0.01199113647453487,31.8325457572937,0.8359557315707207,0.000183999248292821,0.0,8.283185307179586,29.86117180006113
56,896,79,13.775165587411925,-13.775165587411925,4.9375,5.143229166666667,-0.08554113411810249,85.04579305648804,0.7748169600963593,0.0002047693062650069,0.0,8.283185307179586,30.61556410009507
57,912,72,10.263550918301277,-10.263550918301277,4.5,4.521428571428571,-0.04975408082827926,91.88144254684448,0.7721499055624008,0.0002115251700161025,0.0,8.283185307179586,31.292541700066067
58,928,69,8.244192194439156,-8.244192194439156,4.3125,5.246875,0.020414920727489516,29.70795512199402,0.779458187520504,0.00032609837148811494,0.0,8.283185307179586,31.884201000095345
59,944,67,4.790099540849362,-4.790099540849362,4.1875,5.322619047619048,0.19786068750545382,23.726386308670044,0.7122967466711998,0.00010105774831004055,0.0,8.283185307179586,32.407264700043015
60,960,74,7.378041735288518,-7.378041735288518,4.625,5.099553571428571,-0.07533830031752586,21.096521973609924,0.680529274046421,8.269188646181647e-05,0.0,8.283185307179586,33.07675770006608
61,976,62,5.049502295753189,-5.049502295753189,3.875,6.034226190476191,-0.003001729339068504,33.498995780944824,0.7175984382629395,2.9136697094145347e-05,0.0,8.283185307179586,33.62701850000303
62,992,65,6.646294031041707,-6.646294031041707,4.0625,5.193229166666667,0.15285280579701066,20.504095911979675,0.5830061119049788,0.00014265667414292693,0.0,8.283185307179586,34.24231810006313
63,1008,65,7.593196785945535,-7.593196785945535,4.0625,4.8625,0.08652894967235625,20.921030461788177,0.7912379652261734,0.00011882447870448232,0.0,8.283185307179586,34.79529490007553
64,1024,60,5.919524311274044,-5.919524311274044,3.75,5.390625,-0.009820450500895528,28.21243143081665,0.6744600385427475,0.00017340133990728646,0.004166666883975267,8.283185307179586,35.37131890002638
65,1040,70,4.255531198533612,-4.255531198533612,4.375,5.146875,-0.044587637996301055,15.217944502830505,0.6690422967076302,9.223485176335089e-05,0.0,8.283185307179586,36.06085730006453
66,1056,73,7.285398163397449,-7.285398163397449,4.5625,4.3879464285714285,-0.08412475185468793,41.87822908163071,0.665360115468502,0.0003693538553761755,0.001953125,8.283185307179586,36.734236799995415
67,1072,64,4.446902754903828,-4.446902754903828,4,5.463020833333333,-0.004115459742024541,15.379830121994019,0.7026344984769821,5.597807466983795e-05,0.0,8.283185307179586,37.33142810000572
68,1088,70,8.116150459150639,-8.116150459150639,4.375,4.897916666666666,0.14347237581387162,37.772623777389526,0.6535257585346699,0.0007198738844635955,0.001953125,8.283185307179586,37.99178420007229
69,1104,74,5.501659642163396,-5.501659642163396,4.625,4.197395833333333,-0.056328350212424994,10.142786204814911,0.5507972091436386,0.00023372721074110814,0.001953125,8.283185307179586,38.67857180000283
