update,episodes,rollout_steps,mean_cost,mean_reward,mean_decisions,mean_branches,actor_loss,critic_loss,entropy,approx_kl,clip_fraction,fixed_greedy_cost,elapsed_seconds
1,16,105,34.9286495171396,-34.9286495171396,6.5625,3.726686507936508,0.005008854146581143,590.3531595865885,1.0795787225166957,4.416856022260163e-06,0.0,16.84955592153876,0.5878038000082597
2,32,111,45.545075641306425,-45.545075641306425,6.9375,4.347244769119769,0.00327251727382342,579.2146250406901,1.1727396945158641,1.1488788639250439e-05,0.0,16.84955592153876,1.2160043999319896
3,48,93,27.848727042468106,-27.848727042468106,5.8125,4.046006944444445,0.015987393756707508,312.09044647216797,1.1344274828831356,2.7945176744500106e-05,0.0,16.84955592153876,1.7617317999247462
4,64,100,31.589047680537043,-31.589047680537043,6.25,4.866170634920635,0.0100500852180024,352.7970225016276,1.119278758764267,6.084555391320615e-05,0.0,8.283185307179586,2.378282399964519
5,80,98,35.959069696057895,-35.959069696057895,6.125,4.875595238095238,0.0026633087545633316,314.8157208760579,1.1466107666492462,4.814123293310028e-05,0.0,8.283185307179586,2.9441800999920815
6,96,119,43.916204084936204,-43.916204084936204,7.4375,3.9557359307359308,-0.0029394454322755337,508.0221913655599,1.0494060566027958,9.439476161787752e-05,0.0,8.283185307179586,3.580948599963449
7,112,96,36.769356839840036,-36.769356839840036,6,4.175049603174603,0.007486908541371425,368.7907028198242,1.1187612613042195,0.0004902582926054796,0.0,8.283185307179586,4.131524399970658
8,128,95,34.14214492563322,-34.14214492563322,5.9375,4.6223214285714285,-0.011934755680461725,229.82558949788412,1.105219100912412,0.0005701229932431792,0.0,8.283185307179586,4.660326599958353
9,144,101,36.88965546238812,-36.88965546238812,6.3125,4.110987103174603,-0.017194849749406178,285.11170450846356,1.1399702330430348,0.0011251780542806955,0.006756756920367479,8.283185307179586,5.206589299952611
10,160,101,32.646293089030664,-32.646293089030664,6.3125,4.286359126984127,-0.02469865946720044,202.83820088704428,1.0665075729290645,0.002593036381464723,0.028188344401617844,8.283185307179586,5.74920540000312
